"text","label"
"contact @Apple RT @mrstiffanyanne anybody that sold an iPhone before? i have questions &amp; can't find them on Google!!!","neutral"
"hey @apple my 5s keeps glitching :/","negative"
"iPhone6 fell 2 ft. Screen shattered like it was blown up. @apple wants an additional $109 to fix it. Maybe make a product that lasts?","negative"
"RT @HorseshoeBmore #Holiday #Giveaway! To ensure you stay in touch on the go ck out brands like @Apple @amazon http://t.co/jMAL4mOWmz","neutral"
"Can I turn auto correct off @apple ?","neutral"
"#Apple Stores hosting Hour of Code programming workshops on December 11th - http://t.co/lDmfG6nQES #AAPL #Tokyo","neutral"
"#brooklyn is changing! @apple store is heading to BK!","neutral"
"BloombergTV:  Steve #Wozniak on What Really Happened in #Jobs' Garage http://t.co/M5Pl6xLjuV via @BloombergTV #Apple #aapl","neutral"
"my phone keeps restarting on its own @apple dont play me like that???","negative"
"@Sony and @Apple @iTunesMusic  @AppStore @tim_cook need to combine their efforts and  make one solid system accessible from any device...","neutral"
"http://t.co/lOLDOTy7jt""","neutral"
"@Apple Default search engine""","neutral"
"http://t.co/4oaDjSZwg9""","neutral"
"Love the @Apple is supporting #HourOfCode with workshops! :) http://t.co/WP8D0FNjNu","positive"
"Changing words that aren't even misspelled like where do they REALLY do that at???? I would really like to know. @apple","negative"
"@daulfn @AppleUK_ @Apple It's what most of our devs do","neutral"
"@OneRepublic @Apple THIS IS SO BEAUTIFUL","positive"
"@apple Excellent customer service thanks Ian #applestorecoventgarden","positive"
"@sometimesboring also wtf @apple i dont even live in kirkby","negative"
"http://t.co/rmYFzMIE5K""","neutral"
"Follow all developments in the #AAPL DRM trial that is finally underway. https://t.co/W9mVJwhtNQ","neutral"
"that yosemite update is so annoying i regret installing it -_- @apple sort out your shit bro","negative"
"RT @WillliamLemar: RT @JustPoetic_: Why the fuck is there a 'recently deleted' photo album? @Apple","negative"
"#Apple Inc. and #Facebook Clash; Neither Is Wrong | The Motley Fool #fb #aapl http://t.co/AAy60rtQFC","neutral"
"Cheeky @apple...  Very cheeky.... No dice though... You can't own 'App Store' it's a description not a product - http://t.co/8L7VeRuzfs","negative"
"Got to hear about the new patent by apple ... and that's a quite innovative idea.... @apple.  The mobile screen will never break in future","positive"
"BloombergTV:  #Wozniak: What Really Happened in #SteveJobs' Garage http://t.co/dmNbZukzoz #aapl","neutral"
"waiting a week for a DUNS number is preventing me from being able to build and release a client's iOS app. @apple why do you hate me so?","negative"
"RT @hypebot: Steve Job's Deposition in #iPod Lawsuit Could Cost @Apple $1 Billion http://t.co/7vDXwvxKpe #MusicBiz #MusicIndustry #Apple","negative"
"Thought this just happened to me. Why I HATE @apple to this day. http://t.co/19G2JYZOGI via @rollingstone","negative"
"@apple is laughing its pants off with the school programs here in Australia. They even manage to wringe money out of the poorest of people","negative"
"#NYC #EricGarner protesters stage 'Die In' @Apple store http://t.co/5y1RRbx0SC LIVE @Rebelutionary_Z #BlackLivesMatters #ShutItDown","neutral"
"Foreign Currency Exchange May Be A Headwind For Apple (AAPL) http://t.co/rMPiMkvLsH #AAPL","neutral"
".@tim_cook That rage when dealing @Apple Geniuses when they maintain 'it's not a known issue' when a simple google search shows it's a big 1","negative"
"CNBCTV:  Citi's #Apple optimism #aapl http://t.co/CGRe961fib","neutral"
"http://t.co/wkEoflid2Q""","neutral"
"Thank you @Apple for fixing the #Swift sourcekit crashes in #XCode :). Life is better now! http://t.co/NbRWTTcZ35","positive"
"@whereiscooldude @Cyrus_T_Virus @Apple wait no im okay here but yeah actually we should burn it down","negative"
"How many of @apple's top apps of 2014 do you have downloaded on your phone? http://t.co/BTOgs1cDGc","neutral"
"So cool! @Apple stores will host free 'Hour of Code' workshops on Dec. 11 to promote computer science: http://t.co/HrOHssVtK1 #tech","positive"
"@apple why did you make it so difficult to get help with your products?  I just wasted 45 minutes of my life online and still am nowhere.","negative"
"Currently on hold with @Apple in Cupertino to try to set up a Genius Bar appointment in Madrid #dontask","negative"
"I don't know what you're trying to do @apple but phone updates are turned off. Thanks for letting me 'aware' by error http://t.co/yMyoY61hz5","negative"
"RT @Sjado: @Listen2Lena 3x bonus airmiles @Apple right now! #airmilesshops","neutral"
"@Apple now is your chance with Apple TV.  #Verizon #FIOS is going downhill fast.  They are now using crappy plastic STBs with no displays!","neutral"
"These Damn @Apple Commercials Are Getting Worse and Worse","negative"
".@apple MacMail on OS X #Yosemite is really giving me a hard time. Is there an alternative email program out there? #YosemiteProblems","negative"
"Yeeaaayyy....awesome OS X Yosemite 10.10.1 roccckkkssss m/ https://t.co/cK8wPnN91V @satan_oppa @apple","positive"
"#Russia is selling its banned #SteveJobs #tribute #statue | @CultofMac http://t.co/RPsHWCAr3s #Apple #AAPL #iPhone #memorial #bastards","neutral"
"Seems similar to @Apple or @Google doing a cloud backup of my pictures. #OnlineFootprint #ModicumOfPrudence","neutral"
"Lol  RT @Ms_BiAnCa_BiSa: @MhDaDon @Apple I haven't decided yet. I might get bourgeois about it","neutral"
"fucking @apple are memer FAGGOTS http://t.co/w8hbpxTRCJ","negative"
"And how about kids?  Do parents need to monitor the @Apple power cords daily to make sure they are still safe?  #AppleCordFire","negative"
"Will #Apple Inc.'s Profit Margin Continue Upward? | The Motley Fool #aapl http://t.co/oSlDAHbkJP","neutral"
"Hey @apple let us get some Star Wars action on iTunes.","neutral"
"http://t.co/NjdYqwfVAE""","negative"
"@nickruz4 @Apple I can't I just got a new phone /;","neutral"
"Thank you @apple #AppleSantaMonica for fixing my friend's phone in less than 2 hours free of charge. You guys are the best.","positive"
"#Winter can be scary but you can stay safe #Winnipeg with our free @Apple app http://t.co/wYJVGqW6qT","neutral"
"#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx","neutral"
"Imovie screws up my project yet again. I really hate @apple","negative"
"http://t.co/Ot41TSjQlG""","neutral"
"90% nd i aint even leave the house yet @apple water u doin fam","negative"
"http://t.co/mpcU3cC4fM""","neutral"
"The rumoured @oppo R8207 looks very similar to a certain @Apple #iPhone6 http://t.co/eSUoXuE4lr","neutral"
"@OneRepublic @Apple does pilot fly with us? ;-)","neutral"
"@DUNS4Apple @sashametro @Apple Your definition of 'easy' is warped. Thanks for the useless corporate speak.","negative"
"Pacific Crest's #Apple Analyst Reiterates Selling Some Shares - Forbes #aapl http://t.co/4WRGdhxi0G","neutral"
"@Jon_Favreau movie 'chef' so original &amp; well executed. Reminded me of the days Steve Jobs dreaming up @apple and then created the #iPhone","positive"
"@DelenaNian4eva_ @Apple chill?","neutral"
"My fix for syncdefaultsd crashing every five minutes and losing preference settings: keep System Preferences open @Apple","negative"
"I have to be honest. My once great fanaticism for @Apple is turning into an equally great dislike.","negative"
"my iphone 6 FINALLY came after almost 3 weeks don't think I'll forget this @apple","negative"
"http://t.co/CIvVif64xC""","neutral"
"Danger* but ok @Apple wanna fuck with me","negative"
"http://t.co/6jmAQkj3rj""","neutral"
"Apple TV fades away in streaming video player market - @Apple #vod #streaming http://t.co/5jYgtiCWlc","negative"
"@Apple there isn't a puke emoji I'm pissed fix it fat","negative"
"@GriffinNW @Apple @tacobell I love you @tacobell!","positive"
"Attn @Apple :  Buy these guys &amp; make #AppleTV what it should be. 'Fan TV' Heads for the exit   http://t.co/mCPfhvKilJ via @pkafka","neutral"
"Apple Is Warming Up To Social Media: Apple is hiring a social media guru in L.A. Will @Apple finally tweet?Her... http://t.co/lXnHXmdt9S","neutral"
"http://t.co/x3lzm9bOoM""","neutral"
"#AAPL:In Their Own Words: Investor Robin Chan Talks About Xiaomi's Lei Jun...http://t.co/kwkPByJ4p7","neutral"
"Khloe Kardashian has a black iPhone 6 but I still don't have mine???... @Apple whats going on huh? picking favorites? you biased fucks","negative"
"http://t.co/wao7GqQ411""","neutral"
"@Apple iSchool? http://t.co/CMo0TsbHpI #education @applenws","neutral"
"Props for @apple iTC App Review Team for reviewing metadata rejected resubmission in just 2 hours! Thanks!","positive"
"@apple IOS8 is still shit","negative"
"RT @nicwill30: Shout out to @Apple for making crappy iPhone alarms that don't go off and make me late for my final..","negative"
"The only reason I have an iPhone is because of iMessage. @apple BRUH make a better battery","negative"
"Thanks for pushing me into #yosemite @apple it has been the #WORST so slow and clunky. #cantgoback #misssnowleopard #whathappened","negative"
"@apple make SD cards so we can add memory to our iPhone because we all know you won't allow SD cards until you profit from it","negative"
"@Apple announces its top apps of 2014. Did your favourite app make the list? (via @mashable) #AppStore2014 http://t.co/rAaX3Wp3q2","neutral"
"RT @DecodedFashion: .@Apple is reportedly hiring fashion-focused staff for its physical stores http://t.co/ZoOnR3u5zV #FTDaily #FashionTech","neutral"
"http://t.co/e8PoX8RNyx""","neutral"
"Steve Wozniak Says @Apple Starting In Garage Is A Complete Myth @stevewoz- http://t.co/JyAtqxYwha http://t.co/EaBOxjAoFd","neutral"
"Here are the top apps for the iPhone according to @apple http://t.co/6gzv72TrNY #technologya","neutral"
"@FastCoExist If you use @Apple congrats you just gave the government permission to spy on you.  #Apple","negative"
"HATE @APPLE SO MUCH. RUIN MY LIFE","negative"
"We need more products like .@Aviate Companies like .@BlackBerry &amp; .@Apple need to embrace the customization of quality themes.","neutral"
"Foreign Currency Exchange May Be A Headwind For #Apple #AAPL http://t.co/HH6LjnOq0x","neutral"
"RT @QueenCleo_92: Why are your phone chargers so terrible @apple Fix this @Jesus","negative"
"CNBCTV:  #Apple top execs take stand #aapl http://t.co/IeWlOOLdER","neutral"
"Why do you hate business so much @Apple?","negative"
"why does @Apple take so long to send you the password reset email #ipod #apple #soslow","negative"
"@apple I hate the microphone shit on the imessage please take it the fuck off","negative"
"Square Launches iOS App for Food Delivery Service Caviar [iOS Blog] http://t.co/l9uaXkPbxU #AAPL","neutral"
"Got new cases. :) @apple @applestore @citycreek #slc #citycreek #apple #applestore #red ... http://t.co/eiT3tsudcu http://t.co/BPaOYLImcR","neutral"
"Just had to buy a replacement phone charger for my son's iPhone. $40. That's why I'll never buy and @apple product for myself. Just greedy.","negative"
"Since when did @apple stop replacing iPhone units due to defect? Just because I have some scratches on my phone doesn't mean I dropped it.","negative"
"@Apple lol. Yea bro.","neutral"
"Barclay's #Apple Analyst Joins The Crowd And Increases Price Target - Forbes #aapl http://t.co/6Z1DwxeCpE","neutral"
"7 awesome paid #iPhone and #iPad apps that are free for a limited time via @BGR #aapl http://t.co/AAAkSIIgP0","positive"
"@OneRepublic @Apple Ooh my god","neutral"
"http://t.co/mK7jx2SlhF""","neutral"
"Hey @Apple what the hell is this hahaha http://t.co/r1Uspl8dHn","negative"
"THIS 16GB IS GOING TO KILL ME. IM THIS CLOSE TO TAKING A SHIT ON MY PHONE @Iphone @apple","negative"
"@ProfessorF @Apple @HP I am a bigger fan of the @LGElectronics G Watch R.","neutral"
"STUPID FUCKING IPHONE CHARGERS ARE STUPID AND BREAK TOO EASY FUCK YOU @APPLE","negative"
